,Prompt,GT
1777,How can employees be made aware of the need for an information security program? **Options:** A) By implementing a strict dress code policy B) By involving them in decision-making for the program C) By ensuring management's awareness and commitment D) By holding regular computer programming courses,C
1778,What is the estimated value of third-party security services demand by the end of 2004? **Options:** A) None of the above B) $17.2 billion C) $1 billion D) $140 million,B
1779,What precaution should users take when using mobile payment solutions to ensure security? **Options:** A) Use mobile payment solutions linked to company's accounts B) Avoid any payment method involving NFC or RFID technology C) Always opt for contactless payment systems D) Only employ solutions that require per-transaction confirmation or device unlock,D
1780,What method can an ethical hacker utilize to protect against DNS poisoning? **Options:** A) Limiting the time records can stay in cache before updating B) Conducting regular penetration testing C) Blocking access to DNS servers D) Changing all system hostnames,A
1781,What is the primary purpose of using a secure hash function in a digital signature application? **Options:** A) To provide symmetric-key encryption B) To uniquely define the input data and provide integrity protection C) To ensure collision proof of data D) To negotiate the encryption mechanism in SSL,B
1782,How many bits used in the LUCIFER cipher in each round? **Options:** A) 16 bits B) 64 bits C) 36 bits D) 32 bits,C
1783,"In an object-oriented system, what refers to the results exhibited by an object upon receipt of a message? **Options:** A) Delegation B) Behavior C) Polymorphism D) Instance",B
1784,What international standard provides guidelines for securing power systems? **Options:** A) NIST SP 800-53 B) GHF 821X C) IEEE 1776-2008 D) IEC 62351,D
1785,In what year did Horst Feistel develop the block cipher LUCIFER? **Options:** A) 1996 B) 1971 C) 1973 D) 1984,B
1786,What is the main purpose of a penetration test in relation to management? **Options:** A) To sabotage a company's operations. B) To determine the effectiveness of the security controls of an organization. C) To justify expenses related to implementing security programs. D) To find potential flaws in an organization's firewalls.,B
1787,"In the Wireshark capture, what does TCP port==80 filter to display? **Options:** A) HTTP traffic B) Encrypted web page data C) HTTP metadata D) Encrypted email data",A
1788,Which of the following is a common human error when operating equipment? **Options:** A) Leaving cards behind in ATMs B) Typing the wrong password C) Misplacing personal items D) Entering incorrect phone numbers,A
1789,Two forms of risk assessment are: **Options:** A) Analytical and assessment B) Technical and procedural C) Qualitative and quantitative D) Subjective and objective,C
1790,One way to exfiltrate data is using a secret communication path that allows data transfer in a way that violates the security policy. Such a path is called a _______. **Options:** A) Overt Channel B) Tunnel C) Covert Channel D) Secure Channel,C
